symbol,base,status,kind,bars,first_bar,last_bar,ret_listing_to_end,dd_from_ath_high
BTCUSDT,BTC,TRADING,coin,3319,2017-08-17,2026-09-17,16.854978203440776,-0.3937382383767687
ETHUSDT,ETH,TRADING,coin,3319,2017-08-17,2026-09-17,7.119271523178808,-0.5053199859586264
BNBUSDT,BNB,TRADING,coin,3238,2017-11-06,2026-09-17,466.57479312539783,-0.46581728007213974
BCCUSDT,BCC,BREAK,coin,371,2017-11-11,2018-11-20,-0.6577421815408085,-0.9167432065091338
NEOUSDT,NEO,TRADING,coin,3224,2017-11-20,2026-09-17,-0.9402506885503906,-0.9892950654582074
LTCUSDT,LTC,TRADING,coin,3201,2017-12-13,2026-09-17,-0.8139029688631426,-0.8694768918232605
QTUMUSDT,QTUM,TRADING,coin,3105,2018-03-19,2026-09-17,-0.9562833283026462,-0.9756480313857363
ADAUSDT,ADA,TRADING,coin,3076,2018-04-17,2026-09-17,-0.16611706512778235,-0.9347629796839729
XRPUSDT,XRP,TRADING,coin,3059,2018-05-04,2026-09-17,0.4578042476682771,-0.6456142267872265
EOSUSDT,EOS,BREAK,coin,2556,2018-05-28,2025-05-26,-0.9320573579119769,-0.9502532307653054
TUSDUSDT,TUSD,TRADING,stablecoin,2867,2018-05-31,2026-09-17,-0.004678944748631064,-0.6667333333333334
IOTAUSDT,IOTA,TRADING,coin,3032,2018-05-31,2026-09-17,-0.9768051518778139,-0.9847981175064431
XLMUSDT,XLM,TRADING,coin,3032,2018-05-31,2026-09-17,-0.37229437229437234,-0.7675641828428303
ONTUSDT,ONT,TRADING,coin,3024,2018-06-08,2026-09-17,-0.9939782608695652,-0.9942305021985651
TRXUSDT,TRX,TRADING,coin,3021,2018-06-11,2026-09-17,5.925619834710744,-0.2551111111111112
ETCUSDT,ETC,TRADING,coin,3020,2018-06-12,2026-09-17,-0.4900261139442994,-0.9585163765778791
ICXUSDT,ICX,BREAK,coin,3005,2018-06-13,2026-09-03,-0.9957508084074373,-0.997371875
VENUSDT,VEN,BREAK,coin,33,2018-06-22,2018-10-19,-0.9999635196264409,-0.9999682529604115
NULSUSDT,NULS,BREAK,coin,2460,2018-07-23,2025-04-16,-0.9895121951219512,-0.9913997133237774
VETUSDT,VET,TRADING,coin,2977,2018-07-25,2026-09-17,-0.6511111111111111,-0.9736303242337284
PAXUSDT,PAX,BREAK,stablecoin,1069,2018-10-04,2021-09-06,-0.00843170320404718,-0.9989993993993994
BCHABCUSDT,BCHABC,BREAK,coin,378,2018-11-16,2019-11-28,-0.15999999999999992,-0.60558432946827
BCHSVUSDT,BCHSV,BREAK,coin,158,2018-11-16,2019-04-22,-0.5555723232475667,-0.6595178912075843
USDCUSDT,USDC,TRADING,stablecoin,2669,2018-12-15,2026-09-17,-0.010638718607870357,-0.901024727992087
LINKUSDT,LINK,TRADING,coin,2802,2019-01-16,2026-09-17,22.207354443309498,-0.7856603773584906
WAVESUSDT,WAVES,BREAK,coin,1978,2019-01-18,2024-06-17,-0.573608084010303,-0.983155917345022
BTTUSDT,BTT,BREAK,coin,1083,2019-01-31,2022-01-17,4.829135180520571,-0.7954719538062691
USDSOLDUSDT,USDSOLD,BREAK,stablecoin,497,2019-02-14,2020-06-24,-0.01169938528653569,-0.8784390243902439
ONGUSDT,ONG,TRADING,coin,2771,2019-02-16,2026-09-17,-0.9129214129559314,-0.98108
HOTUSDT,HOT,TRADING,coin,2769,2019-02-18,2026-09-17,-0.744995887030436,-0.9882278481012658
ZILUSDT,ZIL,TRADING,coin,2768,2019-02-19,2026-09-17,-0.8418094218415417,-0.9884979175586781
ZRXUSDT,ZRX,TRADING,coin,2759,2019-02-28,2026-09-17,-0.5692369802180057,-0.9555416666666666
FETUSDT,FET,TRADING,coin,2759,2019-02-28,2026-09-17,-0.5239167135621835,-0.9513793103448276
BATUSDT,BAT,TRADING,coin,2755,2019-03-04,2026-09-17,-0.5639187574671446,-0.96215655780197
XMRUSDT,XMR,BREAK,coin,1804,2019-03-15,2024-02-20,1.2783109404990403,-0.7713482172095621
ZECUSDT,ZEC,TRADING,coin,2738,2019-03-21,2026-09-17,25.974791439970986,-0.014464425332290753
IOSTUSDT,IOST,TRADING,coin,2737,2019-03-22,2026-09-17,-0.9067430174126446,-0.9912551778552173
CELRUSDT,CELR,TRADING,coin,2734,2019-03-25,2026-09-17,-0.9115559224102352,-0.989214896829391
DASHUSDT,DASH,TRADING,coin,2731,2019-03-28,2026-09-17,-0.35805306037184037,-0.8714225941422594
NANOUSDT,NANO,BREAK,coin,1028,2019-04-03,2022-01-24,0.6399970503650174,-0.8743502824858757
OMGUSDT,OMG,BREAK,coin,1903,2019-04-03,2024-06-17,-0.8069069826065036,-0.9809679984098588
THETAUSDT,THETA,TRADING,coin,2718,2019-04-10,2026-09-17,0.5215101677063922,-0.9881738035264483
ENJUSDT,ENJ,TRADING,coin,2710,2019-04-18,2026-09-17,-0.8532442531989582,-0.9946501547987616
MITHUSDT,MITH,BREAK,coin,1344,2019-04-19,2022-12-22,-0.9458568738229756,-0.9826633165829146
MATICUSDT,MATIC,BREAK,coin,1965,2019-04-26,2024-09-10,68.61467889908258,-0.8702018474170373
ATOMUSDT,ATOM,TRADING,coin,2699,2019-04-29,2026-09-17,-0.5851204659782896,-0.9650223214285715
TFUELUSDT,TFUEL,TRADING,coin,2674,2019-05-24,2026-09-17,-0.36963696369636967,-0.9859556758187621
ONEUSDT,ONE,TRADING,coin,2666,2019-06-01,2026-09-17,-0.9297252289758534,-0.9955578947368421
FTMUSDT,FTM,BREAK,coin,2044,2019-06-11,2025-01-13,20.58641975308642,-0.7992652545778084
ALGOUSDT,ALGO,TRADING,coin,2645,2019-06-22,2026-09-17,-0.9587591240875912,-0.9737209302325581
USDSBUSDT,USDSB,BREAK,stablecoin,96,2019-06-24,2019-09-27,0.0008008809690660534,-0.44461111111111107
GTOUSDT,GTO,BREAK,coin,1247,2019-07-01,2022-11-28,-0.5591705398641401,-0.9219224924012158
ERDUSDT,ERD,BREAK,stablecoin,425,2019-07-04,2020-08-31,1.9113737075332344,-0.3430000000000001
DOGEUSDT,DOGE,TRADING,coin,2632,2019-07-05,2026-09-17,20.12348518126147,-0.8895195621325765
DUSKUSDT,DUSK,TRADING,coin,2615,2019-07-22,2026-09-17,-0.7569209993247805,-0.9386868772885975
ANKRUSDT,ANKR,TRADING,coin,2614,2019-07-23,2026-09-17,-0.4397515527950311,-0.9791798427639566
WINUSDT,WIN,TRADING,coin,2605,2019-08-01,2026-09-17,-0.9129090498758745,-0.987006734006734
COSUSDT,COS,BREAK,coin,2513,2019-08-03,2026-06-19,-0.9887241689128482,-0.9961384615384615
NPXSUSDT,NPXS,BREAK,coin,602,2019-08-13,2021-04-05,13.579220240564082,-0.22677328171229338
