lookback,top_k,rebal,dev_sharpe,dev_cagr,dev_maxdd
30,1,7,1.1166078713424954,2.013323218670438,-0.9547384019393819
30,1,14,1.1104569188689297,1.9552160530401563,-0.9739916537371892
14,1,3,1.1080636041680993,1.863891519294976,-0.9773560133740832
7,1,7,1.0930574589919877,1.848346183597993,-0.9642328144790202
14,1,1,1.0822459528023975,1.6371153808734538,-0.9799818602892487
14,1,14,1.0457138839194662,1.5556999412973553,-0.9685331848947696
30,1,1,1.0358947462785615,1.4016610493630512,-0.9674690920196574
30,2,7,1.0336433467335298,1.807722016603881,-0.9201237006398549
7,1,1,1.0119293995231,1.2084813176642268,-0.976661556307466
30,3,1,1.0037152065052013,1.7056139344286576,-0.8627081775312727
7,2,14,0.9965923951442551,1.6031373625173306,-0.9303274521935772
30,2,1,0.9962141576692721,1.5619954710275685,-0.9324895335538603
14,2,14,0.9961418513226694,1.5719346909979737,-0.9456528561187573
7,3,7,0.9959294889099921,1.6658685915512277,-0.8321861860515248
30,2,14,0.9934782073754436,1.5828479553493775,-0.9366255328098377
14,5,14,0.9722609058081638,1.567189790954279,-0.8437180638007328
14,1,7,0.9700553633006879,1.1733723493407435,-0.9753771419028193
14,2,7,0.9652199374054397,1.4127308165755315,-0.9445020582320511
30,3,7,0.9641639757166719,1.5161559626954602,-0.8775431461051372
7,5,7,0.9625238773835737,1.5375028863548357,-0.8609356539010892
90,5,7,0.9624331368530225,1.5410933921005845,-0.8567880471006757
60,2,3,0.959129740089101,1.4223655874261456,-0.8894420703230332
14,2,1,0.9582324986401878,1.3205431314496017,-0.9690791684465251
7,5,14,0.9554108126689977,1.492341624637319,-0.8625287530474117
14,3,14,0.955382668988043,1.4445743184358277,-0.9280978381036139
30,2,3,0.9548178180639706,1.344832965777019,-0.9246259038823276
7,3,14,0.9525049302838006,1.4501162027564645,-0.9189517949729664
90,5,14,0.9518503292240642,1.483123408075162,-0.8599666638826104
90,5,1,0.9513837322751895,1.4707421506567817,-0.8586401502634953
7,3,1,0.9507689311098672,1.3951270962119229,-0.8590081942741168
30,5,1,0.95041630227603,1.4522631822517331,-0.8276894914687238
14,5,7,0.9492852764347431,1.4549677442384765,-0.8546594268296294
30,3,3,0.949104163394435,1.4166651753987614,-0.8686161888253506
30,3,14,0.943444844670054,1.4132073741194877,-0.8840625589879014
7,2,7,0.9422380492501087,1.3205985061087326,-0.9103975740206033
30,5,7,0.9412669666054556,1.4182201841255795,-0.8460511787685788
14,3,1,0.9412475327112312,1.3484837438332082,-0.9233875890888138
14,2,3,0.9358402914738311,1.2438919655723497,-0.9508425333274392
60,3,14,0.9287335210463917,1.349122847160539,-0.8788728088078732
14,3,7,0.9266839594888775,1.3111719220678997,-0.9126312776204251
90,5,3,0.9258538291707802,1.3468068431666405,-0.8613691999145232
60,5,7,0.9256365983518882,1.3530305976215558,-0.8684359421625714
60,5,1,0.925439634078384,1.3373795092391347,-0.8672771696752224
60,3,7,0.9229314236862649,1.3258386444379897,-0.8642423557727994
30,5,14,0.9225494843002657,1.3237943178414184,-0.8661228111544084
14,5,1,0.9215836792033831,1.3011344793944142,-0.8695270303349167
30,5,3,0.9185161890372383,1.3024483311776693,-0.8321381787250919
7,1,3,0.9179265284475562,0.8180012689546765,-0.9853374900265688
60,3,1,0.9126128171990201,1.2598371920710578,-0.8744500795724885
60,2,1,0.9113290471754649,1.172619965606962,-0.926311276431232
60,2,7,0.9103321567649427,1.184245296422246,-0.9315403187941557
30,1,3,0.9101212662952519,0.886214404412961,-0.9644197853869685
7,2,1,0.9089840131914922,1.0919383434979215,-0.9347840083891694
7,5,1,0.9057033155027753,1.2304525282797938,-0.8694980990739103
60,5,14,0.9054151156441668,1.250914711517071,-0.8741545828103712
60,3,3,0.9012527909601932,1.2113369092969082,-0.8605388079823917
60,5,3,0.8950780270339924,1.1988819362008547,-0.870242785495657
7,3,3,0.8887685981810364,1.105600649343271,-0.9002461351963921
14,5,3,0.8866072680769003,1.1439458529986246,-0.8673263537890974
14,3,3,0.8855893865872079,1.1053464505636654,-0.9265214218695595
90,3,1,0.883075182650828,1.1411469635580782,-0.898011546637165
7,5,3,0.8778175483149947,1.104723040137523,-0.8728196622190547
90,3,7,0.8742102028758408,1.1174751200628892,-0.8697122560186535
60,2,14,0.8709649473410308,1.0146600084363588,-0.9386121264261714
60,1,7,0.8708703108085819,0.7512166484932401,-0.9679690111937244
7,2,3,0.8636236138888413,0.9197402972413975,-0.9650306407398871
90,3,3,0.858672088697143,1.0423539500641272,-0.8825826989871751
90,3,14,0.8566808623433875,1.0376088200120441,-0.861386110780191
90,2,7,0.8338347331415852,0.8636273714830143,-0.9535513498495558
90,2,1,0.8202695423621971,0.7959915244204936,-0.9692672658730489
90,2,3,0.8105226313845556,0.7669529565876236,-0.9581253690966302
60,1,1,0.8090391945576663,0.5076953359253826,-0.9527194965243039
60,1,3,0.8009948246137167,0.5190874031846131,-0.9496779924205131
90,1,3,0.7996760331749465,0.47799010605525316,-0.9721385109352384
90,1,1,0.7811037390813926,0.4212529316443969,-0.9646938044126466
7,1,14,0.7771073694868368,0.43376973695257326,-0.9923082531225743
90,2,14,0.7592649896261601,0.5936064593576516,-0.9654244337272954
90,1,7,0.7433521517085901,0.3068848338255481,-0.9822736491865677
90,1,14,0.6956153832636924,0.16144756933435334,-0.9924846418962137
60,1,14,0.6278655137262588,0.03944209220946582,-0.9822383918638646
