lookback,top_k,rebal,dev_sharpe,dev_cagr,dev_maxdd
14,1,1,1.1210463115825886,1.943899557229566,-0.9799818602892487
14,1,3,1.0912779116287832,1.8083342415566306,-0.9701012685768087
14,1,14,1.0761199719967296,1.8798126901941647,-0.9746062139331022
7,1,3,1.0557272272195903,1.612437977924984,-0.9625633953783564
7,2,14,1.0477948659527294,1.895083953786965,-0.9535031022644543
7,1,14,1.0468860742126131,1.6540203734116652,-0.9779212772349375
14,1,7,1.0448908047219259,1.63956946128941,-0.9738287869940051
30,1,1,1.033454445561452,1.4402604463740634,-0.9674690920196574
7,1,7,1.0273966660202625,1.4912327287847251,-0.9683021397475725
30,2,14,1.0246521070077241,1.7813939146165882,-0.9478747234661367
7,3,14,1.0164209736642937,1.8153295502660476,-0.8856428249078743
30,2,1,1.0150929677256613,1.699600329419741,-0.9324895335538603
7,1,1,1.012315867227571,1.272893763288872,-0.976661556307466
30,3,1,1.0088249932368827,1.7592876685217678,-0.8627081775312727
30,1,7,1.0005547548583187,1.3849223145272092,-0.9772343763869437
7,5,14,0.99823432645064,1.7372301248791637,-0.8578721725734146
30,1,3,0.9963531292428266,1.2614617079299282,-0.9573838941264073
30,2,7,0.9937067402447552,1.5900948744345018,-0.9515485464290423
14,5,7,0.9929904767224161,1.7108887803859583,-0.868152640830471
14,2,3,0.9923212040754544,1.5793456693824957,-0.9395588115801818
30,1,14,0.9920524440048194,1.3745134378512054,-0.9694623324616791
14,3,7,0.9899583661371999,1.6663474032821237,-0.9062106096350477
14,2,1,0.9889997412224297,1.5158729492832084,-0.9690791684465251
7,3,7,0.9889892088302047,1.6421798516369477,-0.8460831511660866
30,3,7,0.9887783547176924,1.6645445500352039,-0.8833597971190656
30,3,14,0.9878397350904462,1.6664523045996238,-0.8846620578387459
7,3,1,0.9787094229413877,1.566256467430096,-0.8590081942741168
14,2,14,0.9785431231587616,1.57819250208474,-0.9434555675856936
30,2,3,0.9780706711374019,1.5037417154618455,-0.9365183927997247
14,3,14,0.9748094250610474,1.5953401453703404,-0.9127687447379272
90,5,1,0.9746198426217287,1.6159023767770795,-0.8586401502634953
14,5,14,0.973951777714259,1.6217326600207365,-0.8578721725734146
14,3,1,0.9730887487295679,1.538752758767162,-0.9233875890888138
30,5,1,0.9724696509435902,1.5913308950129652,-0.8276894914687238
14,3,3,0.9724521175124214,1.5544737378300417,-0.9049127478269661
7,3,3,0.9673574584642173,1.517005902914383,-0.8530410856658639
30,3,3,0.9661083955580402,1.5362364745999066,-0.8678956144584681
90,5,7,0.9648065126183717,1.5823857766920963,-0.867841598717941
60,2,14,0.9499490840485163,1.425869270023409,-0.9263723268924746
14,5,3,0.9497413103905326,1.4705141850497232,-0.8634156563169967
7,5,7,0.9486977703223688,1.4638361813667684,-0.867667995091223
60,5,1,0.9485735008034902,1.4745658480235484,-0.8672771696752224
14,5,1,0.9462829359915292,1.446250717977915,-0.8695270303349167
60,5,3,0.942348476317123,1.4469302988594626,-0.8676909414431554
60,3,7,0.9423478527213582,1.4449832495761616,-0.9005233107139093
90,5,14,0.9406930221593752,1.4636922394347374,-0.8667740486120699
60,5,7,0.940396627967013,1.447450490091612,-0.8807226899288361
90,5,3,0.936819542701511,1.4279753193075675,-0.8669500871762141
60,3,14,0.9361072621463434,1.4292891915370194,-0.8986823491413527
60,3,1,0.9341398994565944,1.3866777740863072,-0.8744500795724885
60,5,14,0.9339845706930531,1.4260003987560959,-0.8779164029285884
7,2,1,0.9316165244189569,1.231697456362871,-0.9347840083891694
60,2,1,0.9293186541428997,1.2844303021216867,-0.926311276431232
30,5,3,0.9275394983903491,1.368647948171541,-0.8342938222786107
7,2,7,0.9273236348424732,1.2498227364726753,-0.9374990498065625
7,5,1,0.9267797991220527,1.3552565634937235,-0.8694980990739103
60,2,7,0.9193752537024206,1.2684362264205427,-0.9382994635676252
14,2,7,0.9176183070810857,1.2618290100247989,-0.9561978106274205
30,5,7,0.9164131819472329,1.31940246300366,-0.8685696220359926
30,5,14,0.9092116133895048,1.29674810596698,-0.8692679290706165
90,3,1,0.9070829249883483,1.2782700130367544,-0.898011546637165
90,3,7,0.9048087662850768,1.2739913329947758,-0.881266148044632
7,5,3,0.9041599426366103,1.2550146428332085,-0.8704860677891708
60,3,3,0.8923861703538932,1.1893651589976026,-0.8980880788227754
90,3,14,0.8822069551603193,1.1837563054522646,-0.8660946079498774
7,2,3,0.875604409601777,1.016206651720934,-0.9240577581037864
60,2,3,0.8553971063229655,0.9685376435919679,-0.9248866302570151
90,3,3,0.8549472521838994,1.0540731899736824,-0.911442565391303
90,2,1,0.8428807465097002,0.9185944274736384,-0.9692672658730489
90,2,14,0.817852060779713,0.8382446856117771,-0.9412477732353259
60,1,1,0.8174554716281571,0.5787816126140419,-0.9527194965243039
90,1,1,0.812333274021119,0.5675511934675439,-0.9646938044126466
90,2,3,0.7745660227467479,0.6847229716429626,-0.9584901735254262
90,2,7,0.7583178328788764,0.6400929074411266,-0.9643916265396542
60,1,3,0.7571916156428872,0.4306105423726696,-0.9357403398414554
60,1,7,0.7171908292442657,0.3508893075703492,-0.9706083551264612
60,1,14,0.6793654099244931,0.2842297062059638,-0.9631065876275684
90,1,3,0.6579920762148649,0.11573871142193703,-0.9893373709905752
90,1,7,0.6443353412055768,0.1504041641738627,-0.9892310270302077
90,1,14,0.6360208902149792,0.14547916245394288,-0.9781812024889837
