symbol,first_bar,last_bar,days,first_close,last_close,ret_since_listing,ath_close,ath_date,dd_from_ath_close,dd_from_ath_high,median_quote_vol_30d
DOGEUSDT,2019-07-05,2026-09-17,2632,0.0038701,0.08175,20.12348518126147,0.68982,2021-05-07,-0.8814908236931374,-0.8895195621325765,67711065.5311
TROYUSDT,2019-12-05,2025-04-16,1960,0.0095648,6.9e-05,-0.9927860488457678,0.0307601,2021-04-17,-0.9977568343405906,-0.9982805023923444,1696790.4708955
SHIBUSDT,2021-05-10,2026-09-17,1957,3.466e-05,5.14e-06,-0.8517022504327756,7.906e-05,2021-10-27,-0.9349860865165697,-0.9419471425344477,4249746.02666352
PEOPLEUSDT,2021-12-23,2026-09-17,1730,0.1681,0.00837,-0.9502082093991672,0.1681,2021-12-23,-0.9502082093991672,-0.9581500000000001,1163134.370919
PEPEUSDT,2023-05-05,2026-09-17,1232,3.73e-06,3.64e-06,-0.024128686327077764,2.649e-05,2024-12-09,-0.8625896564741412,-0.8716502115655853,28568041.319826294
FLOKIUSDT,2023-05-05,2026-09-17,1232,4.785e-05,2.411e-05,-0.496133751306165,0.00032051,2024-06-06,-0.9247761380300147,-0.9309169054441261,1851399.28315472
MEMEUSDT,2023-11-03,2026-09-17,1050,0.026208,0.000526,-0.9799297924297924,0.053161,2024-03-03,-0.9901055284889299,-0.99474,479021.6129095
ORDIUSDT,2023-11-07,2026-09-17,1046,13.602,4.156,-0.6944566975444788,87.204,2024-03-04,-0.9523416357047841,-0.9571546391752578,2212720.5997200003
1000SATSUSDT,2023-12-12,2026-09-17,1011,0.0005518,1.029e-05,-0.9813519391083726,0.0008678,2023-12-25,-0.9881424291311363,-0.9890857021637675,466264.040552315
BONKUSDT,2023-12-15,2026-09-17,1008,2.373e-05,2.71e-06,-0.8857985672144965,5.368e-05,2024-11-21,-0.9495156482861401,-0.9565008025682183,3444761.947941385
WIFUSDT,2024-03-05,2026-09-17,927,1.547,0.1869,-0.8791855203619909,4.5773,2024-03-31,-0.9591680685120049,-0.9615432098765432,2298704.2584835
BOMEUSDT,2024-03-16,2026-09-17,916,0.02079,0.0009421,-0.9546849446849447,0.02079,2024-03-16,-0.9546849446849447,-0.968003667979894,2058871.9155366002
NOTUSDT,2024-05-16,2026-09-17,855,0.007619,0.000452,-0.9406746292164326,0.022806,2024-06-04,-0.9801806542138034,-0.9877837837837837,494939.60123699997
BANANAUSDT,2024-07-20,2026-09-17,790,64.17,3.833,-0.9402680380239987,70.72,2024-11-27,-0.9458003393665159,-0.9512836807320794,188610.8895125
DOGSUSDT,2024-08-26,2026-09-17,753,0.0012212,4.588e-05,-0.9624303963314772,0.0014782,2024-08-28,-0.9689622513868218,-0.9745111111111111,727358.79225661
TURBOUSDT,2024-09-16,2026-09-17,732,0.004622,0.000912,-0.8026828212894851,0.013488,2024-12-11,-0.9323843416370107,-0.937007874015748,562493.6270895
1MBABYDOGEUSDT,2024-09-16,2026-09-17,732,0.0018695,0.000371,-0.8015512169029152,0.0056694,2024-12-11,-0.9345609764701732,-0.9446615554428567,408022.91483645
NEIROUSDT,2024-09-16,2026-09-17,732,0.00035989,8.269e-05,-0.7702353496901831,0.00271325,2024-11-10,-0.9695236340182438,-0.9734737544469716,1410182.449779095
CATIUSDT,2024-09-20,2026-09-17,728,0.9112,0.06199,-0.931968832309043,0.9112,2024-09-20,-0.931968832309043,-0.9483416666666666,404204.1593055
HMSTRUSDT,2024-09-26,2026-09-17,722,0.00649,0.0001594,-0.9754391371340524,0.0068,2024-09-27,-0.9765588235294118,-0.9887341861615662,615072.4309769999
ACTUSDT,2024-11-11,2026-09-17,676,0.4467,0.00963,-0.9784419073203492,0.756,2024-11-14,-0.9872619047619048,-0.9898631578947369,333172.61878150003
PNUTUSDT,2024-11-11,2026-09-17,676,0.3908,0.0465,-0.8810133060388946,1.7907,2024-11-17,-0.9740325012564919,-0.9814,969092.449945
PENGUUSDT,2024-12-17,2026-09-17,640,0.02865,0.007231,-0.74760907504363,0.04313,2025-07-27,-0.8323440760491537,-0.8967,9564039.0870355
1000CATUSDT,2024-12-17,2026-09-17,640,0.04568,0.001995,-0.9563266199649737,0.04568,2024-12-17,-0.9563266199649737,-0.97185780787135,326886.95604019996
AIXBTUSDT,2025-01-10,2026-09-17,616,0.5059,0.01964,-0.9611780984384266,0.8739,2025-01-15,-0.9775260327268567,-0.9801616161616161,627874.680786
TRUMPUSDT,2025-01-19,2026-09-17,607,46.5,1.955,-0.9579569892473119,46.5,2025-01-19,-0.9579569892473119,-0.9746892801657172,28537601.259591497
ANIMEUSDT,2025-01-23,2026-09-17,603,0.0887,0.00283,-0.9680947012401353,0.0887,2025-01-23,-0.9680947012401353,-0.9735514018691589,259413.57402250002
TSTUSDT,2025-02-09,2026-09-17,586,0.2245,0.01515,-0.9325167037861916,0.2245,2025-02-09,-0.9325167037861916,-0.9713068181818182,1744369.3204925
BANANAS31USDT,2025-03-27,2026-09-17,540,0.006567,0.007399,0.12669407644282016,0.037231,2025-07-10,-0.8012677607370202,-0.8999783707789223,287709.81524250004
BROCCOLI714USDT,2025-03-27,2026-09-17,540,0.06902,0.01782,-0.7418139669660968,0.06902,2025-03-27,-0.7418139669660968,-0.888625,1180514.5355099998
MUBARAKUSDT,2025-03-27,2026-09-17,540,0.1062,0.03123,-0.7059322033898305,0.1062,2025-03-27,-0.7059322033898305,-0.84385,2268278.7760659996
BABYUSDT,2025-04-10,2026-09-17,526,0.08501,0.01077,-0.873309022467945,0.14062,2025-04-12,-0.9234106101550277,-0.9407427785419532,679773.96783
PUMPUSDT,2025-09-11,2026-09-17,372,0.005893,0.003924,-0.33412523332767685,0.008627,2025-09-15,-0.5451489509678914,-0.5630289532293986,35077182.1947525
