symbol,base,quote,status
BTCUSDT,BTC,USDT,TRADING
ETHUSDT,ETH,USDT,TRADING
BNBUSDT,BNB,USDT,TRADING
BCCUSDT,BCC,USDT,BREAK
NEOUSDT,NEO,USDT,TRADING
LTCUSDT,LTC,USDT,TRADING
QTUMUSDT,QTUM,USDT,TRADING
ADAUSDT,ADA,USDT,TRADING
XRPUSDT,XRP,USDT,TRADING
EOSUSDT,EOS,USDT,BREAK
TUSDUSDT,TUSD,USDT,TRADING
IOTAUSDT,IOTA,USDT,TRADING
XLMUSDT,XLM,USDT,TRADING
ONTUSDT,ONT,USDT,TRADING
TRXUSDT,TRX,USDT,TRADING
ETCUSDT,ETC,USDT,TRADING
ICXUSDT,ICX,USDT,BREAK
VENUSDT,VEN,USDT,BREAK
NULSUSDT,NULS,USDT,BREAK
VETUSDT,VET,USDT,TRADING
PAXUSDT,PAX,USDT,BREAK
BCHABCUSDT,BCHABC,USDT,BREAK
BCHSVUSDT,BCHSV,USDT,BREAK
USDCUSDT,USDC,USDT,TRADING
LINKUSDT,LINK,USDT,TRADING
WAVESUSDT,WAVES,USDT,BREAK
BTTUSDT,BTT,USDT,BREAK
USDSOLDUSDT,USDSOLD,USDT,BREAK
ONGUSDT,ONG,USDT,TRADING
HOTUSDT,HOT,USDT,TRADING
ZILUSDT,ZIL,USDT,TRADING
ZRXUSDT,ZRX,USDT,TRADING
FETUSDT,FET,USDT,TRADING
BATUSDT,BAT,USDT,TRADING
XMRUSDT,XMR,USDT,BREAK
ZECUSDT,ZEC,USDT,TRADING
IOSTUSDT,IOST,USDT,TRADING
CELRUSDT,CELR,USDT,TRADING
DASHUSDT,DASH,USDT,TRADING
NANOUSDT,NANO,USDT,BREAK
OMGUSDT,OMG,USDT,BREAK
THETAUSDT,THETA,USDT,TRADING
ENJUSDT,ENJ,USDT,TRADING
MITHUSDT,MITH,USDT,BREAK
MATICUSDT,MATIC,USDT,BREAK
ATOMUSDT,ATOM,USDT,TRADING
TFUELUSDT,TFUEL,USDT,TRADING
ONEUSDT,ONE,USDT,TRADING
FTMUSDT,FTM,USDT,BREAK
ALGOUSDT,ALGO,USDT,TRADING
USDSBUSDT,USDSB,USDT,BREAK
GTOUSDT,GTO,USDT,BREAK
ERDUSDT,ERD,USDT,BREAK
DOGEUSDT,DOGE,USDT,TRADING
DUSKUSDT,DUSK,USDT,TRADING
ANKRUSDT,ANKR,USDT,TRADING
WINUSDT,WIN,USDT,TRADING
COSUSDT,COS,USDT,BREAK
NPXSUSDT,NPXS,USDT,BREAK
COCOSUSDT,COCOS,USDT,BREAK
MTLUSDT,MTL,USDT,TRADING
TOMOUSDT,TOMO,USDT,BREAK
PERLUSDT,PERL,USDT,BREAK
DENTUSDT,DENT,USDT,BREAK
MFTUSDT,MFT,USDT,BREAK
KEYUSDT,KEY,USDT,BREAK
STORMUSDT,STORM,USDT,BREAK
DOCKUSDT,DOCK,USDT,BREAK
WANUSDT,WAN,USDT,BREAK
FUNUSDT,FUN,USDT,BREAK
CVCUSDT,CVC,USDT,TRADING
CHZUSDT,CHZ,USDT,TRADING
BANDUSDT,BAND,USDT,TRADING
BUSDUSDT,BUSD,USDT,BREAK
BEAMUSDT,BEAM,USDT,BREAK
XTZUSDT,XTZ,USDT,TRADING
RENUSDT,REN,USDT,BREAK
RVNUSDT,RVN,USDT,TRADING
HCUSDT,HC,USDT,BREAK
HBARUSDT,HBAR,USDT,TRADING
NKNUSDT,NKN,USDT,BREAK
STXUSDT,STX,USDT,TRADING
KAVAUSDT,KAVA,USDT,TRADING
ARPAUSDT,ARPA,USDT,TRADING
IOTXUSDT,IOTX,USDT,TRADING
RLCUSDT,RLC,USDT,TRADING
MCOUSDT,MCO,USDT,BREAK
CTXCUSDT,CTXC,USDT,BREAK
BCHUSDT,BCH,USDT,TRADING
TROYUSDT,TROY,USDT,BREAK
VITEUSDT,VITE,USDT,BREAK
FTTUSDT,FTT,USDT,TRADING
EURUSDT,EUR,USDT,TRADING
OGNUSDT,OGN,USDT,TRADING
DREPUSDT,DREP,USDT,BREAK
BULLUSDT,BULL,USDT,BREAK
BEARUSDT,BEAR,USDT,BREAK
ETHBULLUSDT,ETHBULL,USDT,BREAK
ETHBEARUSDT,ETHBEAR,USDT,BREAK
TCTUSDT,TCT,USDT,BREAK
WRXUSDT,WRX,USDT,BREAK
BTSUSDT,BTS,USDT,BREAK
LSKUSDT,LSK,USDT,TRADING
BNTUSDT,BNT,USDT,TRADING
LTOUSDT,LTO,USDT,BREAK
EOSBULLUSDT,EOSBULL,USDT,BREAK
EOSBEARUSDT,EOSBEAR,USDT,BREAK
XRPBULLUSDT,XRPBULL,USDT,BREAK
XRPBEARUSDT,XRPBEAR,USDT,BREAK
STRATUSDT,STRAT,USDT,BREAK
AIONUSDT,AION,USDT,BREAK
MBLUSDT,MBL,USDT,TRADING
COTIUSDT,COTI,USDT,TRADING
BNBBULLUSDT,BNBBULL,USDT,BREAK
BNBBEARUSDT,BNBBEAR,USDT,BREAK
STPTUSDT,STPT,USDT,BREAK
WTCUSDT,WTC,USDT,BREAK
DATAUSDT,DATA,USDT,BREAK
XZCUSDT,XZC,USDT,BREAK
SOLUSDT,SOL,USDT,TRADING
CTSIUSDT,CTSI,USDT,TRADING
HIVEUSDT,HIVE,USDT,TRADING
CHRUSDT,CHR,USDT,TRADING
BTCUPUSDT,BTCUP,USDT,BREAK
BTCDOWNUSDT,BTCDOWN,USDT,BREAK
GXSUSDT,GXS,USDT,BREAK
ARDRUSDT,ARDR,USDT,BREAK
LENDUSDT,LEND,USDT,BREAK
MDTUSDT,MDT,USDT,BREAK
STMXUSDT,STMX,USDT,BREAK
KNCUSDT,KNC,USDT,TRADING
REPUSDT,REP,USDT,BREAK
LRCUSDT,LRC,USDT,BREAK
PNTUSDT,PNT,USDT,BREAK
COMPUSDT,COMP,USDT,TRADING
BKRWUSDT,BKRW,USDT,BREAK
SCUSDT,SC,USDT,TRADING
ZENUSDT,ZEN,USDT,TRADING
SNXUSDT,SNX,USDT,TRADING
ETHUPUSDT,ETHUP,USDT,BREAK
ETHDOWNUSDT,ETHDOWN,USDT,BREAK
ADAUPUSDT,ADAUP,USDT,BREAK
ADADOWNUSDT,ADADOWN,USDT,BREAK
LINKUPUSDT,LINKUP,USDT,BREAK
LINKDOWNUSDT,LINKDOWN,USDT,BREAK
VTHOUSDT,VTHO,USDT,TRADING
DGBUSDT,DGB,USDT,TRADING
GBPUSDT,GBP,USDT,BREAK
SXPUSDT,SXP,USDT,BREAK
MKRUSDT,MKR,USDT,BREAK
DAIUSDT,DAI,USDT,BREAK
DCRUSDT,DCR,USDT,TRADING
STORJUSDT,STORJ,USDT,BREAK
BNBUPUSDT,BNBUP,USDT,BREAK
BNBDOWNUSDT,BNBDOWN,USDT,BREAK
XTZUPUSDT,XTZUP,USDT,BREAK
XTZDOWNUSDT,XTZDOWN,USDT,BREAK
MANAUSDT,MANA,USDT,TRADING
AUDUSDT,AUD,USDT,BREAK
YFIUSDT,YFI,USDT,TRADING
BALUSDT,BAL,USDT,BREAK
BLZUSDT,BLZ,USDT,BREAK
IRISUSDT,IRIS,USDT,BREAK
KMDUSDT,KMD,USDT,BREAK
JSTUSDT,JST,USDT,TRADING
SRMUSDT,SRM,USDT,BREAK
ANTUSDT,ANT,USDT,BREAK
CRVUSDT,CRV,USDT,TRADING
SANDUSDT,SAND,USDT,TRADING
OCEANUSDT,OCEAN,USDT,BREAK
NMRUSDT,NMR,USDT,TRADING
DOTUSDT,DOT,USDT,TRADING
LUNAUSDT,LUNA,USDT,TRADING
RSRUSDT,RSR,USDT,TRADING
PAXGUSDT,PAXG,USDT,TRADING
WNXMUSDT,WNXM,USDT,BREAK
TRBUSDT,TRB,USDT,TRADING
BZRXUSDT,BZRX,USDT,BREAK
SUSHIUSDT,SUSHI,USDT,TRADING
YFIIUSDT,YFII,USDT,BREAK
KSMUSDT,KSM,USDT,TRADING
EGLDUSDT,EGLD,USDT,TRADING
DIAUSDT,DIA,USDT,TRADING
RUNEUSDT,RUNE,USDT,TRADING
FIOUSDT,FIO,USDT,BREAK
UMAUSDT,UMA,USDT,TRADING
EOSUPUSDT,EOSUP,USDT,BREAK
EOSDOWNUSDT,EOSDOWN,USDT,BREAK
TRXUPUSDT,TRXUP,USDT,BREAK
TRXDOWNUSDT,TRXDOWN,USDT,BREAK
XRPUPUSDT,XRPUP,USDT,BREAK
XRPDOWNUSDT,XRPDOWN,USDT,BREAK
DOTUPUSDT,DOTUP,USDT,BREAK
DOTDOWNUSDT,DOTDOWN,USDT,BREAK
BELUSDT,BEL,USDT,TRADING
WINGUSDT,WING,USDT,BREAK
LTCUPUSDT,LTCUP,USDT,BREAK
LTCDOWNUSDT,LTCDOWN,USDT,BREAK
UNIUSDT,UNI,USDT,TRADING
NBSUSDT,NBS,USDT,BREAK
OXTUSDT,OXT,USDT,BREAK
SUNUSDT,SUN,USDT,TRADING
AVAXUSDT,AVAX,USDT,TRADING
HNTUSDT,HNT,USDT,BREAK
FLMUSDT,FLM,USDT,BREAK
UNIUPUSDT,UNIUP,USDT,BREAK
UNIDOWNUSDT,UNIDOWN,USDT,BREAK
ORNUSDT,ORN,USDT,BREAK
UTKUSDT,UTK,USDT,BREAK
XVSUSDT,XVS,USDT,TRADING
ALPHAUSDT,ALPHA,USDT,BREAK
AAVEUSDT,AAVE,USDT,TRADING
NEARUSDT,NEAR,USDT,TRADING
SXPUPUSDT,SXPUP,USDT,BREAK
SXPDOWNUSDT,SXPDOWN,USDT,BREAK
FILUSDT,FIL,USDT,TRADING
FILUPUSDT,FILUP,USDT,BREAK
FILDOWNUSDT,FILDOWN,USDT,BREAK
YFIUPUSDT,YFIUP,USDT,BREAK
YFIDOWNUSDT,YFIDOWN,USDT,BREAK
INJUSDT,INJ,USDT,TRADING
AUDIOUSDT,AUDIO,USDT,TRADING
CTKUSDT,CTK,USDT,TRADING
BCHUPUSDT,BCHUP,USDT,BREAK
BCHDOWNUSDT,BCHDOWN,USDT,BREAK
AKROUSDT,AKRO,USDT,BREAK
AXSUSDT,AXS,USDT,TRADING
HARDUSDT,HARD,USDT,BREAK
DNTUSDT,DNT,USDT,BREAK
STRAXUSDT,STRAX,USDT,TRADING
