# Echte Wallet-Liste des Nutzers, exportiert aus Axiom (2026-09-18).
# Format: <adresse>[,<label>] - siehe src/wallet_tracker/wallet_list.py Docstring.
# label = Axiom-Name (Emoji entfernt, Duplikate nach erster Adresse uebersprungen).

CyaE1VxvBrahnPWkqm5VsdCvyS2QmNht2UFrKJHga54o,cented
B32QbbdDAyhvUQzjcaM5j6ZVKwjCxAwGH5Xgvb9SJqnC,kadenox
5fHJszey2UdB2nETS1y6NS2wSG4ic9byKtbgJzaYzGeV,K4ye
831yhv67QpKqLBJjbmw2xoDUeeFHGUx8RnuRj9imeoEs,king trey
4vw54BmAogeRV3vPKWyFet5yf8DTLcREzdSzx4rw9Ud9,decu
8YcbyX92UHTU23HZv3ccP9o13qibErQkKaUjoxqxd7SJ,centeddev
4bLUksHbExppTW6ChEZintHMmurt4JXRx7RZrEBXpQq3,jerome
CDg3bPoM21fSXEzrXWHWyJR33JHX6xaYboq5p7s4uo48,jerome
6TEESe51iQyQRUvEuUGy3hVGpguqF34N9JUfNaURZVxK,trey
BESavbxMyMUVNZT8fBFdDxF4bKSzK2mevvsjxXQyCfyX,BES
5fLWPfB8qjZ8ARUgzL4f7chBuKKj4Fg4EbsA9vW5YKHG,icemandot
13aTrSA6SUEEAhKL3qc8Ns8tpQMEhffHUW3kecRzFC8X,Kreoalt
84m6fNN3DtGAR1b6BUrvXRA54jN55n8KxUGnMU5LALWR,jidn2
8PgvaArcAVh16hQvcBt4iWFaHxEqhMR8zSoc3sbt1wwV,jidn2
Bf4zji6S979QySiGNjPJ2VMZ5i2SRVtAzfx8QUBScJm6,solcrow-fomo
3pcmVZ1DwKbqnjbGbeg3FycThT1AkTpGQYB96jGU6oS1,fizzwick
GmFrDZT2cdrqykgTikVdXbe8EtCgzUDM9VsDhQnwsUsG,agent
GYaqGbgSd5iTiWUtfXMG57AfNdZwcd98y7eEfVhjQnVR,jerome
8GrjsuPip1xVDMjyVcVrG1wnM9Rutv7fdoxqtRBaymHc,bandit
AVoW8jBv34tjAu5r8QcHXKzptMAFBmEEczEmMKZSNqq4,blaster
HjNNPVtZUPqiRo2WWaJWHWncTpvdnnUqaWarYnrfDJgN,criminal
5j9ZbT3mnPX5QjWVMrDaWFuaGf8ddji6LW1HVJw6kUE7,tetsuoPID
GF6vq2zivjAqThz5ZFQ2DqdqgrNF5FRS3bDUCktcNyzk,testuo?
FtVq2huUhU33TNmEbmEQb4kwDEfZeU9tFvBgk7mwWnBx,Tetsuo
DHPHERSkqfckRSEWCt1Kh6ajk2XypCwUC4rz3NtN3nHT,moonpay agent
NiggaCd1i2bCVHQgPTjuPDazJVufuh19iRadTVthDye,log
BoYDZhdrRmhWwqork2j7fx74CHSQJnFaNSXAXsDbVNSy,revrevrev
28KxuZW9zo7j7c6oBHQkZsTY5vaNZExm9cCewogAaJou,west
HiPHAy7TPgeRATovT6Ch4sayFBByuQ4Zp8Twe6i4qBNU,Ethan FOMO
ACgGWUySLSudRFPdfVe1R5i4m1j6M3ovb42oF7hcL8Ud,ily
6to5wpbz4jLaRwVnDBQJgYoJWq2HsH3KHLwz3xYbQweF,vein
nizihwbZYSTVWQk88jUnwjCPGe5uXH8RCfZbSrC7GY9,gooseman
CtqqeD1TjCMCaYLg2GegfxcCgagJjf7qry2kXoAp5Sg3,Dgok
9SySPhJkumx6ZtMCwT8pMDkGBP2rkgcSAZC4oxKrDzGg,sillytuna
3MQhDy175W6TT4sXsDHLq8tc7EqpphjYrSXFQKdMKNr3,Zanjay
CAPn1yH4oSywsxGU456jfgTrSSUidf9jgeAnHceNUJdw,cap
ADC1QV9raLnGGDbnWdnsxazeZ4Tsiho4vrWadYswA2ph,Ducky
FAicXNV5FVqtfbpn4Zccs71XcfGeyxBSGbqLDyDJZjke,radiance fn
ardinRsN1mNYVeoJWTBsWeYeXvuR9UUDGMsCDKpb6AT,trunoest
7E9jfxCczubz4FXkkVKzUMHXGwzJxyppC4m7y3ew8ATg,sophie goat
92ot9FuDS7xBA8xXJYMwE3q9vmAhh9ydg5htTgEZVeAv,Cabal
43F989T2dxVeLNU6DHVyfeKjdXZm6Tq1EtAdfVsmZJ2a,Kev
CAsytuyXY49AzDZWqx1R5CAaRrpaeqTdPedt74xGw5kK,Kevszn
5sNnKuWKUtZkdC1eFNyqz3XHpNoCRQ1D1DfHcNHMV7gn,crypto villain
FpD6n8gfoZNxyAN6QqNH4TFQdV9vZEgcv5W4H2YL8k4X,hesi
777NtBUTG9tVu8Zp1YuuF3T2Hxi9cJzbbG67cHWi1aZ5,Willy
HABhDh9zrzf8mA4SBo1yro8M6AirH2hZdLNPpuvMH6iA,buga
A8Z1ejQGk45EJibBPJviWnM3UvwKSuYun53nSCkWKM52,migratoor
87rRdssFiTJKY4MGARa4G5vQ31hmR7MxSmhzeaJ5AAxJ,Dior
DYAn4XpAkN5mhiXkRB7dGq4Jadnx6XYgu8L5b3WGhbrt,KayTheDoc
54ZZWNRTqwLyaVH68MG8ZR8cfRU5Zppsny7DihVxmjEE,jEE
ARN1garjVGC4Ru2JnGsHdLaUQBbQhSXGAi5To3mdeJDz,Tim
6Xypz2cFJMkAwwkgYWjato4PrbbXZAgv1c4okKaPGHmw,h69
4Hq9UkSXjEwDZDBMAo9Lnri7VnbQCoomRAdrT6NGMh1c,new gake
richb5CkVbs5kX1MNneB93TcJLfN3AiABMGYz5hEzTz,rich
8NJ7Ujpji8uMF2675mqaTSEm2DCbfJA7fiRKtiaqkaLN,chester
J4Dg2TAU889ySrMoNVHEUVwXmAPaNTxZsvJz6TvhrJW6,Juicyfruittyy
7kouZSDLSieVUE7NGyJyRbEbaLGzEcSxVv7Ykmh9X1sS,Hi
4dEYoUoDXVvyKjAnBT2M9F4HQhj6bfJ8qFy6HEbBcEfd,Kev
EzT4zzdtYEmfkvd6WzA3UeUon2CaGeWZtfPpbopyqa1w,omtad
HufqVoEtA6gJrkTnDi9ZwdYozX4V5fXurZbb3tt3jLz4,Cabal
HAN61KQbgzjDBC4RpZJ1ET8v32S4zdKAjoD7EApJ96q6,PAIN2
4qMhJ42sCexUkXgqEkPt9nsyK93d92QeNGKZNyNYPGUb,jellyjelly
FRbUNvGxYNC1eFngpn7AD3f14aKKTJVC6zSMtvj2dyCS,henn
65Xh9pNx4ujb2aWGs5kXPmDLXK3Dwo5McyLGEX9KtfME,TDN
5pxkp8Rpg7xHekFf7URJ25i4P5ZXVk8hRQUaDKytU5K7,leens
B7PrsYQpCZwaMDh2nAKZnAxJKRww91aKtwKjPxWoUfpy,yolo
D8QdouVi4bXVyYnFuhwGQXfymkM1XnRzgJZQPB3f4hLt,Rewards
6HtCogegBXcEbcjiGMkeuCtvrvaiYD7keU7MLPYDHNHs,juicyfruityy
G9VPG4XvHheUUbzPexNzx9Yyx97ii53WYb89PvdM2qQk,Realist
AeLaMjzxErZt4drbWVWvcxpVyo8p94xu5vrg41eZPFe3,s1mple do not buy
C4iZV7FYFGXtwJxeF38UA1a5uKQv3vpANQWifKBZNuTe,copy
4nUSJJXz32beKEHq5X6Hm8j3F8R27ARSoptFpkqcKw8q,spuno
FbUikugMfGzCMBmaZSbJrameK5MEBipe2uAsMW9u2jVx,Euris
BAr5csYtpWoNpwhUjixX7ZPHXkUciFZzjBp9uNxZXJPh,jack duval
CjNHcTyWYE1q1zX5GgpoPw53Lw5D1f4yUUmqNzd4sVxG,kyz
2AvmZrYjhBpYEnc21fXuw9tWutAHrwjAFsGXJLkVQoVX,Cotal
HYWo71Wk9PNDe5sBaRKazPnVyGnQDiwgXCFKvgAQ1ENp,oxstrategy
eeeeAZZ8jNntdEWRdLgUfL7cDPeYePcD1r2udtTy5yX,eeeeeee
2fg5QD1eD7rzNNCsvnhmXFm5hqNgwTTG8p7kQ6f3rx6f,Cupsey
cummwvz2iX8krGFsvd9FebNUBcaQr31rGHaqg9GRYsf,juicyfruityy
BsjftJFNzwfpT2kAQ2hURZUn9zFoqMQ93CsPLTYEFCUw,wiley
6EbQwK1bLmwwHPGYgUtGgH4PVA2Vq683SpmxauJXKC2m,wiley
8paTPtvmEuZeZh2z3ct9YiKXig2xUdQt9N6Uf7cSWqih,Juicyfruityy
nuttbmvHLMzzTZxC8L8gVBobBtZpXcp9ALdM7yGomjM,juicyfruityy
B3wagQZiZU2hKa5pUCj6rrdhWsX3Q6WfTTnki9PjwzMh,xander
3AHL1ipiAdbSC6SWUAexZQT7Tzs27dP14XFaf1JfZ55L,imera
Dwjy8cPLeBZb33iaAFDfHeLkm4fmUJWCw6cLarkbYrx3,CNDL
Gj4s6v2LRLnhkDgZ7MAEU8VTgqygBFVJJh2odKNdGqWZ,ani dev
4hyHStoAdFssn2rVmw8W84nu69qsuWvCA6WRw7avHB4T,dust dev
DR7ghPiRVBJ3YeP3FUJRuSa4XaWq4Pkw8ZM4JYs1PyJ9,slander
ECCKBDWX3MkEcf3bULbLBb9FvrEQLsmPMFTKFpvjzqgP,Kenzo
GfXQesPe3Zuwg8JhAt6Cg8euJDTVx751enp9EQQmhzPH,Spunosounds
EHg5YkU2SZBTvuT87rUsvxArGp3HLeye1fXaSDfuMyaf,til
m7Kaas3Kd8FHLnCioSjCoSuVDReZ6FDNBVM6HTNYuF7,Ferb
G1pRtSyKuWSjTqRDcazzKBDzqEF96i1xSURpiXj3yFcc,GIBBY/MOODENG
5YkZmuaLhrPjFv4vtYE2mcR6J4JEXG1EARGh8YYFo8s4,5yk
8rvAsDKeAcEjEkiZMug9k8v1y8mW6gQQiMobd89Uy7qR,Casino
5tzFkiKscXHK5ZXCGbXZxdw7gTjjD1mBwuoFbhUvuAi9,BINANCE
5t1qjfihWT2JgWY2FiYikX1mdZaPcHYndv7qR6d12YEu,mph
4xgnMkCPZN3AzZ3CnSVoQFiZmH31nseWiM4wvq8exERD,samsrep2
HXQxdXSQ812WPkkAAtqxb6pfXGMQE7Qi4SRpypB9LvK9,chair fake ansem
DJEw8vxrVEtqXHkSiG3HARUEcx42v8aAUL8m4vWVhUL3,Infinite
6QRdkwTSk9Kop6VdqSkSPah7a3HfqKHU5DD4BqMFCUQP,Megga
DXU65912VjiPUhKR37TLiHCrbp4uNHVNNZiBdLv1uAx1,ily
FixmSpsBa7ew26gWdiqpoMAgKRFgbSXFbGAgfMZw67X,marcell
12XmuPzMJjt1EzK39SYH8svHVDrMmoHZdP4ynKGH5QY4,quantwallet
HjrHWsgwDQiceD3Rd24FhffKWvczEAHvLTYwbSm3xVNd,quantwalletmulti
BwaVFCDJ4HfRfFWq1S23LHkk5VF4GKEw9oz7F1PxgcHv,cis dev
83XBMJZEgQ13ZPFTaLr1ktNkUDHVmWpZRMN7AL7BXxnS,openai
BFrLMv2vXEBSqLmTQabe2zEe9viU9uUPAoCHXFjXUogj,lobstar
AfxdnsdzUGnXmFWaEXq6Hr9hninsWVpB5biJGN67PVpj,Tim
pEm51mXQqRTDYNnp9EfNPg5mL1rJaJfXKNXkbK56kYC,Euris
4ESzFZUWUdr2GsgHBVeQKuzAmBWS5sRSaXw6PZH2EAau,dash
65paNEG8m7mCVoASVF2KbRdU21aKXdASSB9G3NjCSQuE,pullupso
4xDDNggBJmahMqJAxZdRVLjs194C6z1XH6FBo3iAqRcv,+837K
BN9bFo7Dh4zS22x3mr7NPQsJsxrMu7b44NbhXXAJZQ6S,porta pog
4NJ4Fj9wdqvDZUwbVtVjo7dP1HDv4wNc2Whb4rVFyXeX,porta pog
ANxp8yZiQeX5dGQaLsatwUHN6BZMS5sa95aLb47gwNyv,weaver
5cs7VtJtornbiTdjhgysN7C5GqV4Y1V1xyH1EQHNoDYc,spuno
93WHQxFvwT9ZHnD3vK5eqtFgJd7z6pGJCSuA7cg9hQqk,Nyvo
HdLytzXLHRUnPD3wMnp2KFvEDzWWQ6Rb7nqqzMKogASr,Nyvo
BCquKNKmZ2uhngRFLdiS5px9XEdjiQCmQXD8M6Cd4xWP,criminal
2LWhPiHagG6M1SyrX6STHhSY85dNm1k6wsapnKppjNZe,Beezie
5W4sXjpeY6DVw3wXrHuf1qWGunwRCjeio7gKXhagB7BR,copytrader
7BbYhLfW74zRHuxBKW2thtFspuWHYfXBuCqjHvGqpwp2,doordash
DzJW1Kc8r3A2mgEjQ7Qxx6PgV976nPLDMeFPQJTcvUWn,Bumper
